Id,Prompt,Completion
178,ᱥᱮᱪ ᱨᱮ ᱵᱮᱼᱵᱩᱴᱟᱹ ᱰᱩᱵᱟᱹ ᱫᱚ ᱪᱮᱫ?,ᱱᱚᱶᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱚᱛ ᱨᱮ ᱵᱮᱱᱟᱣ ᱵᱟᱝ ᱠᱟᱛᱮ ᱥᱮ ᱰᱟᱣᱩᱱᱞᱳ ᱵᱚᱱᱫᱮᱡ ᱵᱚᱱᱫᱮᱡ ᱵᱟᱝ ᱠᱟᱛᱮ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱵᱮᱣᱦᱟᱨ ᱾
179,ᱵᱮᱼᱵᱩᱴᱟᱹ ᱰᱩᱵᱟᱹ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱢᱟᱨᱟᱝ ᱟᱱᱟᱴ ᱪᱮᱫ?,ᱵᱮᱼᱥᱩᱢᱟᱹᱱ ᱫᱟᱜ ᱵᱚᱱᱚᱫᱚᱞ ᱨᱮᱭᱟᱜ ᱚᱡᱮᱛᱮ ᱤᱱᱞᱮᱴ ᱨᱮ ᱟᱹᱰᱤ ᱰᱷᱮᱨ ᱟᱨ ᱚᱯᱳᱴᱞᱮᱴ ᱨᱮ ᱠᱚᱢ ᱦᱳᱭᱳᱜᱼᱟ ᱾
180,ᱵᱮᱼᱵᱩᱴᱟᱹ ᱰᱩᱵᱟᱹ ᱨᱮᱭᱟᱜ ᱢᱩᱲᱩᱫ ᱱᱟᱯᱟᱭ ᱫᱚ ᱪᱮᱫ?,ᱱᱚᱶᱟ ᱨᱮᱭᱟᱜ ᱮᱛᱚᱦᱚᱵ ᱠᱷᱚᱨᱪᱟ ᱠᱚᱢ ᱾
181,ᱵᱟᱨᱰᱟᱨ ᱥᱴᱨᱤᱯ ᱦᱚᱨᱟ ᱫᱚ ᱪᱮᱫ?,ᱢᱤᱫᱴᱟᱝ ᱦᱚᱨᱟ ᱡᱟᱦᱟᱸ ᱨᱮ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱰᱟᱣᱩᱱᱞ ᱥᱟᱢᱲᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱴᱚᱴᱷᱟ ᱠᱚ ᱞᱮᱵᱷᱤ ᱫᱟᱨᱟᱭ ᱛᱮ ᱦᱟᱹᱴᱤᱧ ᱠᱟᱛᱮ ᱦᱟᱹᱴᱤᱧ ᱦᱳᱭᱳᱜᱼᱟ ᱾
182,ᱥᱤᱢᱟᱹ ᱥᱮᱪ ᱞᱟᱹᱜᱤᱫ ᱚᱠᱟ ᱚᱛ ᱫᱚ ᱱᱟᱯᱟᱭ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ?,ᱡᱟᱦᱟᱸ ᱚᱛᱚᱢ ᱨᱮᱭᱟᱜ ᱚᱛᱚᱢ ᱨᱮᱭᱟᱜ ᱦᱟᱨ ᱠᱚᱢ ᱟᱨ ᱚᱛᱚᱢ ᱨᱮᱭᱟᱜ ᱦᱤᱫᱤᱡ ᱠᱚᱢ ᱾
183,ᱥᱤᱢᱟᱹ ᱥᱮᱪ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱟᱱᱟᱴ ᱪᱮᱫ?,ᱚᱛ ᱵᱮᱱᱟᱣ ᱚᱡᱮᱛᱮ ᱮᱛᱚᱦᱚᱵ ᱨᱮ ᱰᱷᱮᱨ ᱠᱷᱚᱨᱪᱟ ᱦᱩᱭᱩᱜᱼᱟ ᱾
184,ᱪᱮᱠ ᱦᱚᱨᱟ ᱫᱚ ᱪᱮᱫ ᱞᱟᱹᱜᱤᱫ ᱟᱨᱦᱚᱸ ᱠᱟᱹᱢᱤ ᱟᱱ?,ᱱᱚᱶᱟ ᱫᱚ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱰᱟᱣᱩᱱᱞᱳᱰ ᱟᱨ ᱰᱟᱣᱩᱱᱞᱳ ᱰᱟᱣᱩᱱᱞᱳᱰ ᱛᱟᱞᱟᱛᱮ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱰᱟᱣᱩᱱᱞᱳᱰ ᱠᱚᱢᱼᱟ ᱾
185,ᱪᱮᱠ ᱦᱚᱨᱟ ᱨᱮᱭᱟᱜ ᱚᱵᱷᱟᱵᱽ ᱪᱮᱫ?,ᱵᱚᱱᱫᱷ ᱵᱮᱱᱟᱣ ᱚᱡᱮᱛᱮ ᱪᱟᱥ ᱞᱟᱹᱜᱤᱫ ᱚᱛᱢᱚᱱ ᱨᱮᱭᱟᱜ ᱦᱟᱹᱱ ᱾
186,ᱯᱷᱚᱨᱳ ᱮᱥᱮᱨᱤᱜᱮᱱ ᱫᱚ ᱪᱮᱫ?,ᱥᱟᱱᱟᱢ ᱪᱟᱥ ᱚᱛᱚᱢ ᱨᱮ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱵᱚᱱᱚᱫᱚᱞ ᱨᱮ ᱯᱷᱚᱞᱮ ᱨᱮᱭᱟᱜ ᱰᱟᱦᱟᱨ ᱠᱚ ᱢᱩᱫ ᱨᱮ ᱦᱩᱰᱤᱧ ᱫᱟᱜ ᱰᱟᱦᱟᱨ ᱨᱮ ᱫᱟᱜ ᱵᱮᱣᱦᱟᱨ ᱦᱩᱭᱩᱜᱼᱟ ᱾
187,ᱯᱷᱚᱨᱳ ᱥᱮᱪ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱢᱩᱲᱩᱫ ᱮᱱᱮᱢ ᱪᱮᱫ?,ᱱᱚᱶᱟ ᱫᱚ ᱚᱛ ᱨᱮᱭᱟᱜ ᱚᱛ ᱨᱮᱭᱟᱜ ᱥᱩᱢᱩᱝ ᱠᱤᱪᱷᱩ ᱦᱤᱸᱥ ᱮᱦᱳᱞ ᱠᱟᱛᱮ ᱚᱵᱷᱟᱵᱽ ᱨᱮᱭᱟᱜ ᱦᱟᱹᱱ ᱠᱚᱢᱼᱟ ᱾
188,ᱯᱷᱚᱨᱳ ᱥᱮᱪ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱟᱱᱟᱴ ᱪᱮᱫ?,ᱱᱚᱶᱟ ᱞᱟᱹᱜᱤᱫ ᱟᱨᱦᱚᱸ ᱠᱟᱹᱢᱤ ᱨᱮᱭᱟᱜ ᱞᱟᱹᱠᱛᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱟᱨ ᱱᱚᱶᱟ ᱨᱮᱭᱟᱜ ᱚᱡᱮ ᱫᱚ ᱦᱩᱭ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱜᱷᱟᱹᱞ ᱾
189,ᱥᱯᱨᱤᱝᱞᱟᱨ ᱮᱥᱮᱨᱤᱜᱮᱥᱚᱱ ᱪᱮᱫ?,ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱦᱚᱨᱟ ᱡᱟᱦᱟᱸᱛᱮ پائپ ᱟᱨ ᱮᱥᱯᱨᱤᱝᱞᱟᱨ ᱵᱮᱣᱦᱟᱨ ᱠᱟᱛᱮ ᱫᱟᱜ ᱞᱮᱠᱟᱱ ᱪᱟᱥ ᱪᱮᱛᱟᱱ ᱨᱮ ᱫᱟᱜ ᱮᱥᱯᱨᱮ ᱠᱚᱨᱟᱣ ᱦᱩᱭᱩᱜᱼᱟ ᱾
190,ᱥᱯᱨᱤᱝᱞᱟᱨ ᱥᱮᱪ ᱨᱮᱭᱟᱜ ᱡᱚᱛᱚ ᱠᱷᱚᱱ ᱱᱟᱯᱟᱭ ᱴᱷᱟᱶ ᱫᱚ ᱪᱮᱫ?,"ᱵᱮᱼᱥᱩᱢᱟᱹᱱ, ᱰᱩᱞᱟᱝ, ᱵᱟᱞᱟᱝ ᱥᱮ ᱞᱟᱛᱟᱨ ᱚᱛ ᱢᱮᱲᱤ ᱾"
191,ᱥᱯᱨᱤᱝᱞᱟᱨ ᱥᱮᱪ ᱨᱮᱭᱟᱜ ᱠᱟᱹᱢᱤ ᱫᱟᱲᱮ ᱨᱮᱱᱟᱜ ᱯᱚᱨᱤᱢᱟᱱ ᱪᱮᱫ?,ᱚᱱᱢᱟᱱ 75-85% ᱾
192,ᱥᱯᱨᱤᱝᱞᱟᱨ ᱥᱮᱪ ᱨᱮᱭᱟᱜ ᱢᱩᱲᱩᱫ ᱱᱟᱯᱟᱭ ᱠᱚ ᱪᱮᱫ?,"ᱢᱤᱫ ᱞᱮᱠᱟᱱ ᱫᱟᱜ ᱵᱚᱱᱚᱫᱚᱞ, ᱫᱟᱜ ᱥᱟᱧᱪᱟᱣ, ᱦᱟᱹᱱ ᱠᱚᱢ ᱟᱨ ᱪᱟᱥ ᱨᱮᱭᱟᱜ ᱵᱟᱹᱲᱛᱤ ᱾"
193,ᱥᱯᱨᱤᱝᱞᱟᱨ ᱥᱮᱪ ᱨᱮᱭᱟᱜ ᱚᱵᱷᱟᱵᱽ ᱠᱚ ᱪᱮᱫ?,"ᱰᱷᱮᱨ ᱠᱷᱚᱨᱪᱟ, ᱵᱚᱱᱚᱫᱚᱞ ᱨᱮᱭᱟᱜ ᱚᱡᱮᱛᱮ, ᱦᱚᱭ ᱨᱮᱭᱟᱜ ᱮᱥᱮᱨ ᱟᱨ ᱟᱹᱰᱤ ᱥᱩᱨ ᱚᱛᱢᱚᱱ ᱞᱟᱹᱜᱤᱫ ᱵᱟᱝ ᱵᱮᱣᱦᱟᱨᱚᱜᱼᱟ ᱾"
194,ᱰᱨᱤᱯ ᱥᱮᱪ ᱫᱚ ᱪᱮᱫ ᱞᱟᱹᱜᱤᱫ ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ?,ᱱᱚᱶᱟ ᱫᱚ ᱥᱚᱨᱟᱥᱚᱨᱤ ᱢᱩᱲᱩᱫ ᱴᱚᱴᱷᱟ ᱨᱮ ᱫᱟᱜ ᱥᱟᱨᱵᱷᱟᱨ ᱠᱟᱛᱮ ᱫᱟᱜ ᱵᱮᱶᱦᱟᱨ ᱠᱚᱢᱼᱟ ᱾
195,ᱰᱨᱤᱯ ᱥᱮᱪ ᱵᱚᱱᱫᱮᱡ ᱨᱮᱭᱟᱜ ᱢᱩᱲᱩᱫ ᱦᱤᱸᱥ ᱠᱚ ᱪᱮᱫ?,"ᱯᱮᱯ, ᱮᱢᱤᱴᱟᱨ, ᱵᱷᱟᱞᱵᱷ, ᱯᱷᱤᱞᱴᱟᱨ, ᱯᱟᱢᱯ ᱟᱨ ᱯᱮᱥᱟᱨ ᱨᱮᱜᱩᱞᱤᱴᱟᱨ ᱾"
196,ᱰᱨᱤᱯ ᱥᱮᱪ ᱨᱮ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱫᱟᱜ ᱪᱷᱟᱹᱲ ᱨᱮᱭᱟᱜ ᱦᱟᱨ ᱪᱮᱫ?,ᱯᱨᱟᱭ 1-10 ᱞᱮᱴᱟᱨ ᱡᱚᱛᱚ ᱮᱢᱤᱴᱟᱨ ᱨᱮ ᱡᱚᱛᱚ ᱴᱟᱲᱟᱝ ᱨᱮ ᱾
197,ᱥᱮᱪ ᱨᱮᱭᱟᱜ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱢᱟᱱᱢᱟᱱᱟᱜ ᱪᱮᱫ ᱦᱩᱭᱩᱜ ᱛᱟᱢᱟ?,"ᱱᱚᱶᱟ ᱫᱚ ᱦᱤᱫᱤᱡᱟᱱ ᱩᱯᱟᱹᱫᱽ ᱠᱷᱚᱱ ᱪᱷᱟᱹᱲ ᱟᱨ ᱚᱛᱢᱚᱱ, ᱡᱤᱭᱟᱹᱞᱤ ᱟᱨ ᱦᱚᱲ ᱠᱚ ᱞᱟᱹᱜᱤᱫ ᱥᱟᱨᱵᱷᱟᱨ ᱦᱳᱭᱳᱜᱼᱟ ᱾"
198,ᱥᱮᱪ ᱞᱟᱹᱜᱤᱫ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱜᱚᱱᱚᱝ ᱪᱮᱫ ᱚᱡᱮᱛᱮ ᱜᱚᱴᱟ ᱦᱩᱭᱩᱜᱼᱟ?,"ᱞᱟᱹᱞᱤᱥ, ᱞᱟᱹᱞᱤᱥ, ᱥᱟᱰᱤᱭᱚᱢ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱤᱢᱟᱱ, ᱵᱤᱥᱟᱱ ᱟᱭᱩᱢᱟᱹᱱ ᱟᱨ ᱢᱮᱠᱨᱳᱵᱟᱭᱤᱞ ᱜᱮᱢᱮᱧ ᱾"
199,ᱥᱮᱪ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱯᱷᱮᱰᱟᱛ ᱠᱚ ᱪᱮᱫ?,"ᱚᱛ ᱨᱮᱭᱟᱜ ᱫᱟᱜ, ᱚᱛ ᱨᱮᱭᱟᱜ ᱫᱟᱜ ᱟᱨ ᱥᱟᱨᱵᱷᱟᱨ ᱟᱠᱟᱱ ᱫᱟᱜ ᱾"
200,ᱚᱛ ᱨᱮᱭᱟᱜ ᱫᱟᱜ ᱥᱟᱧᱪᱟᱣ ᱨᱮᱭᱟᱜ ᱢᱩᱲᱩᱫ ᱡᱚᱥ ᱫᱚ ᱪᱮᱫ?,ᱚᱵᱟᱥᱚᱱ ᱟᱨ ᱴᱨᱟᱱᱥᱯᱤᱨᱮᱥᱚᱱ ᱛᱟᱞᱟᱛᱮ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱦᱟᱹᱱ ᱠᱚᱢ ᱞᱟᱹᱜᱤᱫ ᱾
201,ᱪᱮᱫ ᱚᱡᱮᱛᱮ ᱚᱛᱚᱢ ᱨᱮᱭᱟᱜ ᱫᱟᱜ ᱥᱟᱵ ᱫᱚᱦᱚ ᱟᱹᱰᱤ ᱞᱟᱹᱠᱛᱤ ᱠᱟᱱᱟ?,ᱱᱚᱶᱟ ᱫᱚ ᱪᱟᱥ ᱞᱟᱹᱜᱤᱫ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱥᱟᱹᱵᱩᱫ ᱮ ᱜᱚᱴᱟ ᱞᱮᱫᱟ ᱟᱨ ᱥᱮᱪ ᱨᱮᱭᱟᱜ ᱞᱟᱹᱠᱛᱤ ᱠᱚᱢ ᱞᱮᱫᱟ ᱾
202,ᱡᱳᱨᱱᱤᱠ ᱢᱟᱞᱪ ᱪᱮᱫ?,ᱚᱛᱢᱚᱱ ᱨᱮᱭᱟᱜ ᱚᱛᱢᱚᱱ ᱟᱨ ᱚᱛᱢᱚᱱ ᱨᱮᱭᱟᱜ ᱚᱛᱢᱚᱱ ᱞᱮᱠᱟᱱ ᱥᱮᱨᱣᱟ ᱟᱱᱟᱜ ᱩᱯᱟᱹᱭ ᱚᱛᱢᱚᱱ ᱞᱟᱹᱜᱤᱫ ᱵᱮᱣᱦᱟᱨᱚᱜᱼᱟ ᱾
203,ᱢᱟᱞᱪᱤᱝ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱚᱛ ᱫᱚ ᱜᱚᱲᱚ ᱟᱭ?,"ᱱᱚᱶᱟ ᱫᱟᱜ ᱥᱟᱧᱪᱟᱣ ᱫᱚᱦᱚ, ᱚᱛ ᱨᱮᱭᱟᱜ ᱱᱟᱯᱟᱭ ᱟᱨ ᱵᱮᱱᱟᱣ ᱫᱟᱲᱮᱭ ᱵᱟᱹᱲᱛᱤᱼᱟ ᱾"
204,ᱠᱚᱢᱯᱳᱥᱴ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱫᱟᱜ ᱥᱟᱧᱪᱟᱣ ᱨᱮ ᱜᱚᱲᱚ ᱮᱢᱼᱟ?,ᱱᱚᱶᱟ ᱫᱚ ᱚᱵᱷᱟᱵᱽ ᱠᱚᱢᱼᱟ ᱟᱨ ᱚᱛᱚᱢ ᱨᱮᱭᱟᱜ ᱱᱩᱴᱤᱨᱮᱱᱴ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱤᱢᱟᱱ ᱮ ᱵᱟᱹᱲᱛᱤᱼᱟ ᱾
205,ᱥᱟᱢᱲᱟᱣ ᱡᱚᱞᱟ ᱫᱚ ᱪᱮᱫ ᱠᱟᱱᱟ?,ᱫᱟᱜ ᱟᱨ ᱡᱩᱭᱟᱹᱱᱟᱱ ᱯᱚᱨᱤᱢᱟᱱ ᱫᱚᱦᱚ ᱞᱟᱹᱜᱤᱫ ᱚᱛ ᱨᱮᱭᱟᱜ ᱚᱵᱷᱟᱵᱽ ᱠᱚᱢ ᱢᱮ ᱾
206,ᱯᱷᱚᱞᱮ ᱨᱳᱨᱮᱴᱮᱱ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱫᱟᱜ ᱥᱟᱧᱪᱟᱣ ᱨᱮ ᱜᱚᱲᱚ ᱮᱢᱼᱟ?,ᱱᱚᱶᱟ ᱫᱚ ᱚᱛ ᱨᱮᱭᱟᱜ ᱵᱮᱱᱟᱣ ᱟᱨ ᱫᱟᱜ ᱫᱚᱦᱚ ᱨᱮᱭᱟᱜ ᱫᱟᱲᱮᱭ ᱵᱟᱹᱲᱛᱤᱼᱟ ᱾
207,ᱠᱳᱱᱴᱳᱨ ᱡᱳᱞ ᱞᱟᱹᱜᱤᱫ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱫᱟᱜ ᱥᱟᱧᱪᱟᱣ ᱦᱩᱭᱩᱜᱼᱟ?,"ᱱᱚᱶᱟ ᱫᱚ ᱥᱚᱞᱮᱯ ᱨᱮ ᱡᱳᱞ ᱠᱟᱛᱮ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱰᱟᱣᱩᱱᱞ ᱠᱚᱢᱼᱟ, ᱡᱟᱦᱟᱸᱛᱮ ᱟᱨᱦᱚᱸ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱚᱱᱩᱢᱟᱹᱱ ᱦᱳᱭᱳᱜᱼᱟ ᱾"
208,ᱥᱴᱨᱤᱯ ᱠᱨᱚᱯᱤᱝ ᱫᱚ ᱪᱮᱫ?,ᱜᱷᱩᱨᱩᱢ ᱠᱚᱢ ᱞᱟᱹᱜᱤᱫ ᱟᱨ ᱫᱟᱜ ᱥᱟᱧᱪᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱢᱤᱫ ᱛᱟᱭᱚᱢ ᱟᱨ ᱢᱤᱫ ᱦᱚᱨᱟᱛᱮ ᱪᱟᱥ ᱢᱮ ᱾
209,ᱢᱮᱥᱟ ᱪᱟᱥ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱫᱟᱜ ᱥᱟᱧᱪᱟᱣ ᱨᱮ ᱜᱚᱲᱚ ᱮᱢᱼᱟ?,ᱟᱭᱢᱟ ᱞᱮᱠᱟᱱ ᱯᱷᱚᱞᱟᱹ ᱟᱭᱢᱟ ᱞᱮᱠᱟᱱ ᱞᱟᱛᱟᱨ ᱨᱮ ᱟᱨ ᱚᱠᱛᱚ ᱨᱮ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱵᱮᱣᱦᱟᱨ ᱮ ᱠᱚᱨᱟᱣᱼᱟ ᱾
210,ᱫᱟᱜ ᱫᱟᱜ ᱥᱟᱧᱪᱟᱣ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱥᱮᱪ ᱞᱟᱹᱜᱤᱫ ᱜᱚᱲᱚ ᱮᱢᱼᱟ?,ᱱᱚᱶᱟ ᱫᱚ ᱛᱟᱭᱚᱢ ᱫᱟᱨᱟᱢ ᱪᱟᱥ ᱠᱟᱹᱢᱤ ᱞᱟᱹᱜᱤᱫ ᱫᱟᱜ ᱥᱟᱧᱪᱟᱣ ᱟᱨ ᱥᱟᱧᱪᱟᱣ ᱟᱠᱟᱫᱟᱭ ᱾
211,ᱢᱩᱲᱩᱫ ᱚᱛᱢᱚᱱ ᱚᱛᱢᱚᱱ ᱨᱮᱭᱟᱜ ᱯᱮᱛᱷᱳᱡᱮᱱ ᱨᱮᱭᱟᱜ ᱧᱩᱛᱩᱢ ᱚᱞ ᱢᱮ ᱾,"ᱢᱩᱬᱩᱫ ᱯᱮᱛᱷᱳᱡᱮᱱ ᱠᱚ ᱢᱩᱫᱽᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱨᱮᱡᱳᱠᱴᱳᱱᱤᱭᱟ, ᱯᱷᱩᱡᱮᱨᱤᱭᱟᱢ, ᱵᱷᱮᱨᱴᱤᱥᱤᱞᱤᱭᱟᱢ, ᱥᱠᱞᱮᱨᱳᱴᱤᱱᱤᱭᱟ, ᱯᱮᱛᱷᱤᱭᱟᱢ ᱟᱨ ᱯᱷᱟᱭᱴᱳᱯᱛᱷᱳᱨᱟ ᱞᱮᱠᱟᱱ ᱾"
212,ᱚᱛᱚᱢ ᱠᱷᱚᱱ ᱡᱟᱱᱟᱢᱚᱜ ᱨᱳᱜᱽ ᱨᱮᱭᱟᱜ ᱚᱡᱮᱛᱮ ᱯᱚᱨᱤᱢᱟᱱ ᱯᱚᱨᱤᱢᱟᱱ ᱪᱮᱫ ᱠᱚᱢᱚᱜᱼᱟ?,ᱚᱛᱚᱢ ᱠᱷᱚᱱ ᱡᱟᱱᱟᱢ ᱟᱠᱟᱱ ᱨᱳᱜᱽᱠᱚ ᱚᱡᱮᱛᱮ 50-75% ᱪᱟᱥ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱤᱢᱟᱱ ᱠᱚᱢ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾
213,ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱚᱛᱚᱢ ᱠᱷᱚᱱ ᱡᱟᱱᱟᱢ ᱟᱠᱟᱱ ᱯᱮᱛᱷᱳᱡᱮᱱ ᱠᱚ ᱚᱛᱚᱢ ᱨᱮ ᱠᱚ ᱛᱟᱦᱮᱸᱱᱼᱟ?,"ᱩᱱᱠᱩ ᱫᱚ ᱥᱠᱞᱮᱨᱳᱴᱤᱭᱟ, ᱠᱞᱮᱢᱟᱭᱰᱳᱥᱯᱳᱨᱥ, ᱳᱥᱯᱳᱨᱥ ᱟᱨ ᱢᱮᱠᱨᱚᱥᱠᱞᱮᱨᱳᱴᱤᱭᱟ ᱞᱮᱠᱟᱱ ᱨᱩᱠᱷᱟᱹᱣᱟᱱ ᱵᱮᱱᱟᱣ ᱞᱮᱠᱟᱛᱮ ᱠᱚ ᱛᱟᱦᱮᱸᱱᱼᱟ ᱾"
214,ᱚᱛᱚᱢ ᱠᱷᱚᱱ ᱡᱟᱱᱟᱢᱚᱜ ᱞᱮᱠᱟᱱ ᱨᱳᱜᱽᱛᱮ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱞᱮᱠᱟᱛᱮ ᱪᱮᱫ ᱪᱮᱫ ᱪᱟᱥ ᱠᱚ ᱮᱥᱮᱨᱚᱜᱼᱟ?,"ꯆꯦꯡ, ꯒꯦꯍꯨ, ᱠᱩᱛᱚ, ᱢᱮᱠᱦᱳᱠ,<unk>, ᱯᱷᱚᱞᱮ ᱟᱨ ᱥᱳᱯᱨᱳᱲ ᱾"
215,ᱚᱛᱚᱢ ᱠᱷᱚᱱ ᱡᱟᱱᱟᱢᱚᱜ ᱨᱳᱜᱽ ᱨᱮᱭᱟᱜ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱪᱤᱱᱦᱟᱹ ᱠᱚ ᱪᱮᱫ?,"ᱨᱟᱛᱟᱝ, ᱰᱟᱢᱯᱤᱝᱼᱳᱯᱷ, ᱵᱤᱞᱟᱝ, ᱡᱚᱞᱟ, ᱥᱴᱚᱱᱴᱤᱝ, ᱥᱚᱨᱠ ᱯᱷᱨᱟᱠ ᱟᱨ ᱰᱟᱭᱵᱮᱠ ᱾"
216,ᱪᱮᱫ ᱚᱡᱮᱛᱮ ᱚᱛᱚᱢ ᱠᱷᱚᱱ ᱡᱟᱱᱟᱢᱚᱜ ᱜᱮᱢᱟᱜᱟᱱ ᱜᱮᱢᱟᱜᱟᱱ ᱜᱮᱢᱮᱧ ᱨᱮᱭᱟᱜ ᱪᱤᱱᱦᱟᱹ ᱵᱟᱝ ᱦᱩᱭ ᱟᱠᱟᱱᱟ?,"ᱪᱮᱫᱟᱜ ᱥᱮ ᱟᱭᱢᱟ ᱯᱮᱛᱷᱳᱡᱮᱱ ᱢᱤᱫ ᱞᱮᱠᱟᱱ ᱪᱤᱱᱦᱟᱹ ᱮ ᱵᱮᱱᱟᱣ ᱞᱮᱫᱟ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱪᱤᱱᱦᱟᱹ ᱞᱟᱹᱜᱤᱫ ᱟᱹᱰᱤ ᱜᱮᱠᱲᱤ ᱮ ᱵᱮᱱᱟᱣ ᱞᱮᱫᱟ ᱾"
217,ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱚᱛᱚᱢ ᱠᱷᱚᱱ ᱡᱟᱱᱟᱢᱚᱜ ᱞᱮᱠᱟᱱ ᱨᱳᱜᱽ ᱥᱮᱨᱣᱟ ᱞᱮᱠᱟᱛᱮ ᱥᱟᱢᱲᱟᱣ ᱦᱩᱭᱩᱜᱼᱟ?,ᱥᱱᱛᱷᱮᱴᱤᱠ ᱠᱤᱢᱤᱠᱮᱞ ᱯᱷᱟᱝᱜᱤᱥᱟᱭᱰᱤᱥ ᱵᱟᱨᱵᱟᱨ ᱵᱮᱣᱦᱟᱨ ᱛᱟᱞᱟᱛᱮ ᱾
218,ᱥᱱᱛᱷᱮᱴᱤᱠ ᱯᱷᱟᱝᱜᱤᱥᱟᱭᱰᱤᱥ ᱨᱮᱭᱟᱜ ᱟᱱᱟᱴ ᱠᱚ ᱪᱮᱫ?,"ᱱᱚᱶᱟ ᱠᱚᱫᱚ ᱦᱚᱭᱦᱩᱫᱥᱩᱢᱟᱹᱧ ᱯᱚᱨᱟᱢᱚᱥ, ᱥᱟᱣᱟᱨ ᱨᱮᱭᱟᱜ ᱟᱱᱟᱴ ᱟᱨ ᱚᱛᱚᱢ ᱨᱮᱭᱟᱜ ᱜᱚᱱᱚᱝᱟᱱ ᱡᱮᱠᱨᱳᱵᱤᱠ ᱠᱚ ᱦᱟᱹᱱᱼᱟ ᱾"
219,ᱪᱮᱫ ᱚᱡᱮᱛᱮ ᱨᱳᱜᱽ ᱵᱚᱱᱫᱮᱡ ᱵᱚᱱᱫᱮᱡ ᱵᱚᱱᱫᱮᱡ ᱟᱱᱟᱜ ᱦᱚᱨᱟ ᱥᱮᱫ ᱪᱟᱞᱟᱣ ᱟᱠᱟᱱᱟ?,"ᱦᱚᱭᱦᱩᱫᱥᱮᱫ ᱨᱮᱭᱟᱜ ᱪᱟᱹᱱᱛᱤ ᱟᱨ ᱱᱟᱯᱟᱭ, ᱟᱭᱢᱟ ᱫᱤᱱ ᱨᱮᱭᱟᱜ ᱩᱯᱟᱹᱭ ᱨᱮᱭᱟᱜ ᱞᱟᱹᱠᱛᱤ ᱚᱡᱮᱛᱮ ᱾"
